nohup: ignoring input
Using downloaded and verified file: ./data/SVHN/raw/train/train_32x32.mat
Using downloaded and verified file: ./data/SVHN/raw/test/test_32x32.mat
Train - Iteration 0: 	Loss_stepA: 0.0460
Train - Iteration 50: 	Loss_stepA: 2.2525
Train - Iteration 100: 	Loss_stepA: 2.2064
Train - Iteration 150: 	Loss_stepA: 2.0719
Train - Iteration 200: 	Loss_stepA: 1.8049
Train - Iteration 250: 	Loss_stepA: 1.5252
Train - Iteration 300: 	Loss_stepA: 1.3700
Train - Iteration 350: 	Loss_stepA: 1.2207
Train - Iteration 400: 	Loss_stepA: 1.1322
Train - Iteration 450: 	Loss_stepA: 1.0482
Train - Iteration 500: 	Loss_stepA: 1.0102
Train - Iteration 550: 	Loss_stepA: 0.9619
Train - Epoch [1]: 	Loss_stepA: 1.4884
Test - Epoch [1]: 	Accuracy_stepA: 76.62%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0188
Train - Iteration 50: 	Loss_stepA: 0.8733
Train - Iteration 100: 	Loss_stepA: 0.8592
Train - Iteration 150: 	Loss_stepA: 0.8385
Train - Iteration 200: 	Loss_stepA: 0.8263
Train - Iteration 250: 	Loss_stepA: 0.7770
Train - Iteration 300: 	Loss_stepA: 0.7733
Train - Iteration 350: 	Loss_stepA: 0.7626
Train - Iteration 400: 	Loss_stepA: 0.7297
Train - Iteration 450: 	Loss_stepA: 0.7290
Train - Iteration 500: 	Loss_stepA: 0.7255
Train - Iteration 550: 	Loss_stepA: 0.7029
Train - Epoch [2]: 	Loss_stepA: 0.7786
Test - Epoch [2]: 	Accuracy_stepA: 81.78%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0142
Train - Iteration 50: 	Loss_stepA: 0.6953
Train - Iteration 100: 	Loss_stepA: 0.6663
Train - Iteration 150: 	Loss_stepA: 0.6432
Train - Iteration 200: 	Loss_stepA: 0.6685
Train - Iteration 250: 	Loss_stepA: 0.6510
Train - Iteration 300: 	Loss_stepA: 0.6436
Train - Iteration 350: 	Loss_stepA: 0.6337
Train - Iteration 400: 	Loss_stepA: 0.6172
Train - Iteration 450: 	Loss_stepA: 0.6300
Train - Iteration 500: 	Loss_stepA: 0.6138
Train - Iteration 550: 	Loss_stepA: 0.5814
Train - Epoch [3]: 	Loss_stepA: 0.6385
Test - Epoch [3]: 	Accuracy_stepA: 84.32%
